09:51:23.705 [main] INFO  com.spencer.App - .....love gz bing...
09:52:05.138 [main] INFO  com.spencer.App - .....love gz bing...
09:52:25.478 [main] INFO  com.spencer.App - .....love gz bing...
10:03:02.469 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:03:18.198 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:06:03.269 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:07:08.611 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:07:28.864 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:07:52.470 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:08:28.536 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:26:17.590 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:27:07.909 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:27:37.176 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:31:38.573 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:32:27.507 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:57:57.206 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:58:30.337 [main] INFO  com.spencer.App - .....normal get  of the log .....
10:59:05.294 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:14:25.704 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:17:17.482 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:22:18.260 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:22:49.318 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:23:20.393 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:35:05.148 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:42:37.208 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:43:43.899 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:48:20.158 [main] INFO  com.spencer.App - .....normal get  of the log .....
11:48:45.872 [main] INFO  com.spencer.App - .....normal get  of the log .....
12:42:59.987 [main] INFO  com.spencer.App - .....normal get  of the log .....
12:43:56.302 [main] INFO  com.spencer.App - .....normal get  of the log .....
12:44:09.265 [main] INFO  com.spencer.App - .....normal get  of the log .....
12:45:35.571 [main] INFO  com.spencer.App - .....normal get  of the log .....
12:48:19.162 [main] INFO  com.spencer.App - .....normal get  of the log .....
12:48:41.318 [main] INFO  com.spencer.App - .....normal get  of the log .....
12:52:53.769 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:14:16.337 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:14:55.520 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:18:47.434 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:21:24.187 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:31:21.582 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:31:48.085 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:37:12.084 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:38:54.083 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:39:12.875 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:40:08.902 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:40:34.091 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:40:58.211 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:41:10.166 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:41:39.781 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:42:21.652 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:57:38.934 [main] INFO  com.spencer.App - .....normal get  of the log .....
14:58:41.307 [main] INFO  com.spencer.App - .....normal get  of the log .....
15:00:38.155 [main] INFO  com.spencer.App - .....normal get  of the log .....
15:02:10.608 [main] INFO  com.spencer.App - .....normal get  of the log .....
15:41:01.248 [main] INFO  com.spencer.App - .....normal get  of the log .....
15:51:23.366 [main] INFO  com.spencer.App - .....normal get  of the log .....
15:57:01.794 [main] INFO  com.spencer.App - .....normal get  of the log .....
16:01:24.433 [main] INFO  com.spencer.App - .....normal get  of the log .....
16:01:58.651 [main] INFO  com.spencer.App - .....normal get  of the log .....
16:08:01.994 [main] INFO  com.spencer.App - .....normal get  of the log .....
16:27:03.146 [main] INFO  com.spencer.App - .....normal get  of the log .....
16:27:50.652 [main] INFO  com.spencer.App - .....normal get  of the log .....
16:48:39.559 [main] INFO  com.spencer.App - .....normal get  of the log .....
16:50:37.869 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:08:38.825 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:11:07.767 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:13:38.751 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:13:44.545 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:16:19.607 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:17:19.348 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:18:13.253 [main] INFO  com.spencer.App - .....normal get  of the log .....
17:34:30.843 [main] INFO  com.spencer.App - .....normal get  of the log .....
18:56:12.949 [main] INFO  com.spencer.App - .....normal get  of the log .....
18:59:52.826 [main] INFO  com.spencer.App - .....normal get  of the log .....
19:00:21.703 [main] INFO  com.spencer.App - .....normal get  of the log .....
19:08:57.637 [main] INFO  com.spencer.App - .....normal get  of the log .....
19:10:13.276 [main] INFO  com.spencer.App - .....normal get  of the log .....
19:17:13.352 [main] INFO  com.spencer.App - .....normal get  of the log .....
19:51:24.886 [main] INFO  com.spencer.App - .....normal get  of the log .....
19:58:24.087 [main] INFO  com.spencer.App - .....normal get  of the log .....
20:05:21.414 [main] INFO  com.spencer.App - .....normal get  of the log .....
20:22:02.569 [main] INFO  com.spencer.App - .....normal get  of the log .....
20:22:23.898 [main] INFO  com.spencer.App - .....normal get  of the log .....
20:28:50.128 [main] INFO  com.spencer.App - .....normal get  of the log .....
